R,G,B,H,S,V
77.99954223632812,84.22084045410156,101.20956420898438,84.43955993652344,103.19068908691406,103.71621704101562
184.96624755859375,195.388671875,191.021484375,40.16552734375,42.39973449707031,199.19374084472656
146.87330627441406,180.39256286621094,184.2832489013672,64.09104919433594,80.28297424316406,189.66668701171875
79.69007873535156,95.78012084960938,112.97491455078125,48.69203186035156,85.18141174316406,115.32771301269531
93.65357971191406,129.1419219970703,126.31730651855469,65.95048522949219,73.05111694335938,134.29249572753906
51.754638671875,68.62405395507812,105.45375061035156,47.73844909667969,165.707763671875,108.33351135253906
90.86508178710938,114.80239868164062,101.38038635253906,52.537322998046875,83.60128784179688,115.38523864746094
86.39691162109375,139.78392028808594,112.64808654785156,49.78334045410156,128.46595764160156,144.49278259277344
82.03025817871094,139.18995666503906,165.13160705566406,27.458648681640625,142.6961212158203,174.67137145996094
79.55812072753906,133.44509887695312,160.38690185546875,30.705184936523438,154.4923095703125,179.08258056640625
101.15127563476562,83.55313110351562,70.04669189453125,89.35186767578125,127.67221069335938,117.22491455078125
176.7204132080078,225.7021484375,222.10324096679688,28.921493530273438,69.4222412109375,226.18270874023438
185.8048858642578,204.6763916015625,211.1826934814453,20.334945678710938,39.04559326171875,213.90472412109375
151.078125,160.07582092285156,164.16839599609375,87.40213012695312,91.501220703125,181.45150756835938
67.62420654296875,87.7158203125,77.9029541015625,54.7548828125,64.94668579101562,88.78050231933594
71.89128112792969,156.00650024414062,158.63088989257812,29.23681640625,156.4751434326172,168.73033142089844
122.00532531738281,133.7496337890625,129.02020263671875,77.30763244628906,57.59832763671875,143.5294647216797
167.91104125976562,169.06610107421875,155.03076171875,80.70262145996094,68.28053283691406,189.6625213623047
55.14653015136719,143.83734130859375,112.96107482910156,41.411163330078125,167.406005859375,143.84817504882812
191.4539031982422,181.89407348632812,193.60430908203125,61.586212158203125,54.99261474609375,199.77618408203125
159.11634826660156,216.7627410888672,228.063232421875,22.304122924804688,87.43766784667969,228.1763458251953
137.648681640625,141.1546173095703,135.35304260253906,69.26853942871094,65.67601013183594,154.1688995361328
113.45980834960938,100.34164428710938,118.08090209960938,111.62008666992188,118.01271057128906,139.41000366210938
185.885986328125,207.73690795898438,206.83424377441406,55.42950439453125,43.82691955566406,212.4589080810547
164.53651428222656,180.5431671142578,176.9468536376953,40.77119445800781,44.43705749511719,182.73191833496094
74.80738830566406,156.0807342529297,138.9373779296875,79.25270080566406,197.7563934326172,196.08848571777344
201.809814453125,227.84788513183594,231.15185546875,27.82470703125,46.7301025390625,236.44056701660156
154.2978515625,210.2158966064453,228.51535034179688,21.850189208984375,94.38700866699219,228.63414001464844
184.57394409179688,200.07330322265625,232.12405395507812,15.663436889648438,61.139984130859375,232.2599639892578
118.09037780761719,91.31231689453125,80.85934448242188,102.11386108398438,133.26556396484375,132.33399963378906
73.30662536621094,138.2378387451172,177.0846710205078,19.057220458984375,150.43850708007812,180.16973876953125
174.03375244140625,190.82945251464844,182.93548583984375,43.75440979003906,43.998748779296875,194.84481811523438
46.03056335449219,42.982452392578125,44.09788513183594,57.14697265625,94.10333251953125,57.8299560546875
206.24610900878906,221.13645935058594,234.0922393798828,40.630340576171875,43.232574462890625,237.45066833496094
82.95097351074219,109.08602905273438,155.44009399414062,42.47343444824219,126.6669921875,157.39926147460938
203.753173828125,190.21646118164062,160.21929931640625,90.546630859375,68.26870727539062,209.39669799804688
53.43006896972656,88.96804809570312,121.05308532714844,25.83831787109375,161.70584106445312,129.63690185546875
89.67747497558594,172.96121215820312,181.89674377441406,35.26881408691406,136.8099822998047,185.82150268554688
161.97628784179688,192.95445251464844,212.36045837402344,43.000885009765625,64.79237365722656,213.45887756347656
59.24855041503906,112.73007202148438,119.46090698242188,34.2562255859375,170.7779083251953,127.88662719726562
38.11906433105469,83.83013916015625,73.22547912597656,54.414154052734375,145.6885986328125,85.56962585449219
142.4971923828125,157.22222900390625,189.24057006835938,88.58010864257812,105.27517700195312,192.17578125
101.01121520996094,90.86384582519531,118.81196594238281,124.15255737304688,107.8612060546875,125.84465026855469
180.8177490234375,184.4573516845703,182.10025024414062,38.328826904296875,22.324172973632812,185.90939331054688
225.87570190429688,230.3933563232422,237.17344665527344,26.391311645507812,24.07220458984375,238.69862365722656
204.04666137695312,204.40089416503906,215.51193237304688,29.233551025390625,37.18833923339844,215.69882202148438
106.04560852050781,105.80659484863281,154.6114959716797,100.87747192382812,125.18141174316406,160.6161346435547
38.91246032714844,114.97975158691406,120.17921447753906,29.452713012695312,181.79847717285156,124.86497497558594
116.45439147949219,113.30137634277344,107.43818664550781,97.14520263671875,116.89459228515625,142.5994110107422
82.06491088867188,79.36064147949219,121.09709167480469,119.91255187988281,123.68666076660156,121.10685729980469
115.60783386230469,113.38018798828125,133.76223754882812,109.835205078125,81.05690002441406,139.94459533691406
182.88168334960938,212.8313751220703,196.57261657714844,40.2353515625,53.89276123046875,215.43641662597656
195.123291015625,197.0271759033203,236.5753936767578,23.713836669921875,54.355072021484375,236.6935272216797
203.0341339111328,208.5774383544922,246.36082458496094,27.615646362304688,48.660797119140625,246.68055725097656
232.70050048828125,244.89097595214844,247.87892150878906,8.96368408203125,18.218658447265625,247.9445343017578
